CMDLINE C:\Users\Usuario\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 134.925781 1712632777.3452
MEM 134.925781 1712632777.4457
MEM 134.925781 1712632777.5460
MEM 134.925781 1712632777.6466
MEM 134.925781 1712632777.7468
MEM 134.925781 1712632777.8472
MEM 134.925781 1712632777.9476
MEM 134.925781 1712632778.0482
MEM 134.925781 1712632778.1483
MEM 134.925781 1712632778.2488
MEM 134.925781 1712632778.3490
MEM 134.925781 1712632778.4496
MEM 134.925781 1712632778.5498
MEM 134.925781 1712632778.6499
MEM 134.925781 1712632778.7504
MEM 134.925781 1712632778.8509
MEM 134.925781 1712632778.9514
MEM 134.925781 1712632779.0517
MEM 134.925781 1712632779.1519
MEM 134.925781 1712632779.2520
MEM 134.925781 1712632779.3522
MEM 134.925781 1712632779.4527
MEM 134.925781 1712632779.5535
MEM 134.925781 1712632779.6537
MEM 134.925781 1712632779.7542
MEM 134.925781 1712632779.8544
MEM 134.925781 1712632779.9549
MEM 134.925781 1712632780.0551
MEM 134.925781 1712632780.1556
MEM 134.925781 1712632780.2559
MEM 134.925781 1712632780.3563
MEM 134.925781 1712632780.4566
MEM 134.925781 1712632780.5568
MEM 134.925781 1712632780.6574
MEM 134.925781 1712632780.7580
MEM 134.925781 1712632780.8584
MEM 134.925781 1712632780.9586
MEM 134.925781 1712632781.0589
MEM 134.925781 1712632781.1592
MEM 134.925781 1712632781.2594
MEM 134.925781 1712632781.3600
MEM 134.925781 1712632781.4603
MEM 134.925781 1712632781.5605
MEM 134.925781 1712632781.6609
MEM 134.925781 1712632781.7612
MEM 134.925781 1712632781.8616
MEM 134.925781 1712632781.9618
MEM 134.925781 1712632782.0622
MEM 134.925781 1712632782.1627
MEM 134.925781 1712632782.2633
MEM 134.925781 1712632782.3638
MEM 134.925781 1712632782.4645
MEM 134.925781 1712632782.5648
MEM 134.925781 1712632782.6655
MEM 134.925781 1712632782.7657
MEM 134.925781 1712632782.8668
MEM 134.925781 1712632782.9669
MEM 134.925781 1712632783.0676
MEM 134.925781 1712632783.1679
MEM 134.925781 1712632783.2682
MEM 134.925781 1712632783.3689
MEM 134.925781 1712632783.4696
MEM 134.925781 1712632783.5699
MEM 134.925781 1712632783.6702
MEM 134.925781 1712632783.7706
MEM 134.925781 1712632783.8712
MEM 134.925781 1712632783.9715
MEM 134.925781 1712632784.0721
MEM 134.925781 1712632784.1724
MEM 134.925781 1712632784.2729
MEM 134.925781 1712632784.3732
MEM 134.925781 1712632784.4735
MEM 134.925781 1712632784.5737
MEM 134.925781 1712632784.6742
MEM 134.925781 1712632784.7744
MEM 134.925781 1712632784.8750
MEM 134.925781 1712632784.9756
MEM 134.925781 1712632785.0761
MEM 134.925781 1712632785.1764
MEM 134.925781 1712632785.2767
